thread_id,url,title,question,answer,all_answers,tags,created_at,updated_at
,,Declaring vs. Catching Exceptions -- Mutually Exclusive?,"""Declaring Exceptions forces callers to either deal with the exception or pass responsibility to their callers"" - Lecture NotesIf we try/catch a declared exception within the function, do we still need to declare it?","No, unless you throw another exception in your catch block or somewhere else. If all possible exceptions are try/catched, you shouldn't declare it.","No, unless you throw another exception in your catch block or somewhere else. If all possible exceptions are try/catched, you shouldn't declare it.",General,,
,,transform and fold,If we need to use transform or fold on the exam will the structure be given in the appendix?,I don't think we can guarantee this. My recommendation would be to use your cheat sheet to write it down if that helps with remembering.,I don't think we can guarantee this. My recommendation would be to use your cheat sheet to write it down if that helps with remembering.,Exams,,
,,Swap - Extra OH,"Hi everyone.I'll hold extra OH tomorrow from 10.30am-12pm in my office (Levine 264).Please feel free to stop by, if you have any questions!",,,Exams,,
,,Will the last lecture (advanced java) be part of the final?,Will the last lecture (advanced java) be part of the final?,Possibly!,Possibly!,General,,
,,Signatures in Ocaml,"Hi! I was wondering if for mutable queues, etc. in Ocaml, if we would need to remember all the methods defined on the signature or if we would be given it in the appendix if needed?Thank you!","We can't say. However, you will not have to write OCaml on the exam, so if you were to get a question on mutable queues, it would be multiple choice.","We can't say. However, you will not have to write OCaml on the exam, so if you were to get a question on mutable queues, it would be multiple choice.",Exams,,
,,Reviewing Swing,"I'm still having trouble actually understanding some parts of swing, given the time constraint what would be a recommended approach?","Could you elaborate more on what parts of Swing you're having trouble with? I'd recommend reviewing past exams that feature Java Swing, going to OH, maybe rewatching those lectures if you have the time. Maybe reading the Javadocs of the functions that are confusing could be helpful too? I'd honestly say your best bet is the exam material.","Could you elaborate more on what parts of Swing you're having trouble with? I'd recommend reviewing past exams that feature Java Swing, going to OH, maybe rewatching those lectures if you have the time. Maybe reading the Javadocs of the functions that are confusing could be helpful too? I'd honestly say your best bet is the exam material.",Exams,,
,,Question about what I should be getting,"I'm looking over lecture 15 right now, and I'm not exactly sure what I should be getting out of it.Specifically, the part where it goes over the specific implementations of enq and deq. Is it just to give me a better idea of how the data structure works? Or is there another reason for teaching us specific implementation?","In general, I'd say that the OCaml homework/lectures related to the queues and deques are partly a means to teach the ASM and abstraction and modularity.. so sigs vs structs (interfaces vs classes) and how to design modular and updatable code. The fact that queues allow for mutable data opens up a can of worms in terms of  defining equality. Also, queues and deques are just a good data structures to know and pop up in so many different areas of computer science. Not sure if this answered your question? Perhaps the professors can follow up with their specific learning goals..","In general, I'd say that the OCaml homework/lectures related to the queues and deques are partly a means to teach the ASM and abstraction and modularity.. so sigs vs structs (interfaces vs classes) and how to design modular and updatable code. The fact that queues allow for mutable data opens up a can of worms in terms of  defining equality. Also, queues and deques are just a good data structures to know and pop up in so many different areas of computer science. Not sure if this answered your question? Perhaps the professors can follow up with their specific learning goals..",Exams,,
,,dynamic dispatch,could someone write out the distinction between what would cause the code to not compile vs. compile and throw an exception in a scenario of dynamic dispatch like this?,"The key fact here is that when we downcast, Java doesn't check at compile time if the dynamic type of the variable being downcast (JavaBarbie) is a subtype of the class being downcast to (OCamlBarbie). Thus, something like MattelToy barbie = new JavaBarbie() will compile, since MattelToy is a supertype of OCamlBarbie, so barbie could theoretically be dynamically a subtype of OCamlBarbie. However, it will throw a runtime exception. However, something like MattelToy barbie = new Object() won't compile, since Object isn't a subtype of MattelToy.","The key fact here is that when we downcast, Java doesn't check at compile time if the dynamic type of the variable being downcast (JavaBarbie) is a subtype of the class being downcast to (OCamlBarbie). Thus, something like MattelToy barbie = new JavaBarbie() will compile, since MattelToy is a supertype of OCamlBarbie, so barbie could theoretically be dynamically a subtype of OCamlBarbie. However, it will throw a runtime exception. However, something like MattelToy barbie = new Object() won't compile, since Object isn't a subtype of MattelToy.",General,,
,,Final 25sp Q6.4,"How is exporting with ""return this"" safe when it exposes the reference to the original object and I can easily change the data? Also, isn't the logic behind Q 6.3 and 6.4 literally the same thing?Thanks in advance","No, not exactly. links() returns a possibly private part of the internal representation, and now the caller holds a reference directly to a node in your data structure and can do whatever they want to it. In export(), returning this just returns the object itself, which the caller already had. Say we have Object o. o.export() is just Object o again. Think about it - how could you call an object's methods if you didn't already have the object? Also, any private fields that Object o has are still private. The object itself isn't private.","No, not exactly. links() returns a possibly private part of the internal representation, and now the caller holds a reference directly to a node in your data structure and can do whatever they want to it. In export(), returning this just returns the object itself, which the caller already had. Say we have Object o. o.export() is just Object o again. Think about it - how could you call an object's methods if you didn't already have the object? Also, any private fields that Object o has are still private. The object itself isn't private.",Exams,,
,,Exceptions lecture 30,"For the example in the lecture slides in lecture 30 on catching exceptions and the ASM, I was wondering what would happen in the case that the catch block was in foo() and there was no catch block in baz(). I think that the exception would search through the saved workspaces until it reached the catch block from foo() and then would print ""here in foo"". Would that be correct? Or would ""here in bar"" be printed as well?","Correct, ""here in bar"" would not be printed","Correct, ""here in bar"" would not be printed",General,,
,,23 fall 1b i,"if we said array list because we could use the set and remove methods to perform the functionality needed and thought that linked list would only be appropriate if the points were at the head or the tail of the list not if they were in the middle, would that reasoning be considered correct too? if not, how can we assume that the points being removed are only the first and last and why would array list not be MOST suitable. Thank you","If it was remove in the middle then an ArrayList still wouldn't be the best option because the list size would change and you wouldn't be able to keep track of the index of the waypoints. The implication of a route is that is ordered so you'd be deleting and adding from the front and end, so it's effectively a Deque which a LinkedList is best for. If you interpreted it as insertion and deletion similar to a set, then a treemap would be closest to what you want (if you justified it like that, then you may get partial credit upon regrade request depending on your wording).","If it was remove in the middle then an ArrayList still wouldn't be the best option because the list size would change and you wouldn't be able to keep track of the index of the waypoints. The implication of a route is that is ordered so you'd be deleting and adding from the front and end, so it's effectively a Deque which a LinkedList is best for. If you interpreted it as insertion and deletion similar to a set, then a treemap would be closest to what you want (if you justified it like that, then you may get partial credit upon regrade request depending on your wording).",General,,
,,23 fall qs 2,"in this a) why would the third checkbox also not be correct? and in the c) I didnt understand the first checkbox, how that would be calculated. could you please walkthrough it?","For a), @ appends two lists, x+1 is an int not an int list so it's ill-typed.For c), your base case is 24, acc then equals 24, then acc = 24 / 4 = 6, then acc = 6 / 3 = 2, then acc = 2 / 2 = 1, and that's the value that gets returned (just traverse backward through the list and repeat the function). If there is anything still confusing feel free to let me know.","For a), @ appends two lists, x+1 is an int not an int list so it's ill-typed.For c), your base case is 24, acc then equals 24, then acc = 24 / 4 = 6, then acc = 6 / 3 = 2, then acc = 2 / 2 = 1, and that's the value that gets returned (just traverse backward through the list and repeat the function). If there is anything still confusing feel free to let me know.",General,,
,,25 sp final 6.8,"When solving this question, is it possible to use the iterator we previously created, and have our code be the following:    Iterator&lt;E&gt; it = iterator();    while (it.hasNext()) {        E e = it.next();        if ((o == null &amp;&amp; e == null) || (o.equals(e))) {            return true;        }    }    return false;","Yes, good solution","Yes, good solution",General,,
,,23 fall qs 3,"what does java generics invariant mean here? I remember reading in the lecture notes that this would be possible because Java barbie is a subtype of cs barbie and array list is a subtype of list. so could you explain why the code would not compile? also if it did, would this be an example of parametric polymorphism. could you explain? Thank you!","No, the lecture notes explicitly say this is not possible.QueueImpl&lt;Queue&lt;String&gt;&gt; is a subtype of Queue&lt;Queue&lt;String&gt;&gt; but Queue&lt;QueueImpl&lt;String&gt;&gt; is not a subtype of Queue&lt;Queue&lt;String&gt;&gt;. This is because parametrized types in Java are invariant. For any type T, QueueImpl is a subtype of Queue. You can just substitute T for anything, as long as it's consistent. But statement 2 tries to use subtyping on the inner generic parameter, which is just not allowed because the generics are invariant.Also, the above is an example of parametric polymorphism. The same code of QueueImpl works for any type of E.","No, the lecture notes explicitly say this is not possible.QueueImpl&lt;Queue&lt;String&gt;&gt; is a subtype of Queue&lt;Queue&lt;String&gt;&gt; but Queue&lt;QueueImpl&lt;String&gt;&gt; is not a subtype of Queue&lt;Queue&lt;String&gt;&gt;. This is because parametrized types in Java are invariant. For any type T, QueueImpl is a subtype of Queue. You can just substitute T for anything, as long as it's consistent. But statement 2 tries to use subtyping on the inner generic parameter, which is just not allowed because the generics are invariant.Also, the above is an example of parametric polymorphism. The same code of QueueImpl works for any type of E.",General,,
,,Final exam note sheet,"Can the note sheet for the final exam be written on an iPad, or does it have to be written in pencil?",pencil/pen on paper,pencil/pen on paper,Exams,,
,,Final Exam Time and Location,"Just to confirm, if my last name begins with T, I take the exam in Fagin Auditorium, Fagin Hall at 6 p.m. on 12/11?",Yes,Yes,General,,
,,24fa 8.6,"In this question, why would changing the instance variable to static not change the behavior? Shouldn't the variable keep track of the count in all instances in that case, meaning that the count wouldn't reset with restarting the game?","The variable would be modified by all instances, so if you had multiple panels, restarting for one would reset the value for all. However, the game only has a single cookie Panel, so there won't be any change in behavior since there is only ever a single instance accessing it.","The variable would be modified by all instances, so if you had multiple panels, restarting for one would reset the value for all. However, the game only has a single cookie Panel, so there won't be any change in behavior since there is only ever a single instance accessing it.",Exams,,
,,25 spring final 4.5,"In this question, is JapaneseCherryBlossom allowed to be the static type because its supertype classes contain growingSeason(), even though the class itself doesn't explicitly rewrite growingSeason()?",Do you mind attaching photos of the appendices?,Do you mind attaching photos of the appendices?,General,,
,,25 spring final 5.3,"Can anyone explain why p.allies.contains(new Player(""Wei Rich"", 1)) is false?","#1001  Check out this answer for an answer to the 3rd question. For the fourth question, it's because the only Player object we added to our allies collection has the name ""Oh Caml"", not ""Wei Rich"".","#1001  Check out this answer for an answer to the 3rd question. For the fourth question, it's because the only Player object we added to our allies collection has the name ""Oh Caml"", not ""Wei Rich"".",General,,
,,a bit confused of the example.,,"#1023, let me know if you have additional questions.","#1023, let me know if you have additional questions.",General,,
,,Let expressions and Tuples,"I'm confused about why the let binding on the second and fourth lines would need to have a type annotation, isn't (left, right) just equal to x and left/right is being returned as the result of the function call?","Since we know that x is of type int * string, we can infer that when we destructure it, left is an int and right is a string.Additionally, in OCaml, type annotations are completely optional (although required by the CIS 1200 style guide). Thus, let first x = let (left, right) = x in left is valid code. We give let declarations (often function declarations) type annotations in order to assist the OCaml compiler with validating our code and to make development easier.","Since we know that x is of type int * string, we can infer that when we destructure it, left is an int and right is a string.Additionally, in OCaml, type annotations are completely optional (although required by the CIS 1200 style guide). Thus, let first x = let (left, right) = x in left is valid code. We give let declarations (often function declarations) type annotations in order to assist the OCaml compiler with validating our code and to make development easier.",General,,
,,Interface methods are usually dynamic - Why?,"Title, from this recitation slideshow:","Since we call the static method of the static type of a variable, we actually have to implement the static method in the interface. We don't expect you to know this, so you can consider static interface methods outside of the scope of the course.","Since we call the static method of the static type of a variable, we actually have to implement the static method in the interface. We don't expect you to know this, so you can consider static interface methods outside of the scope of the course.",General,,
,,24 spring 4c,is this correct? but the mark scheme says this,"What is i and j? In this question, we didn't define variables with those names.","What is i and j? In this question, we didn't define variables with those names.",General,,
,,23fa q2c,"Could you explain when it is appropriate to downcast? Why does CSBarbie cause a ClassCastException whereas this example in recitation does not? Is this because both classes in the recitation example have the method call whereas in the exam question, the superclass does not have that method call?","In the recitation, Poodle is a subclass of Dog, so when we downcast the evan binding from an Animal to a Dog, the dynamic type Poodle is still a subclass of Dog.For (c), ComputerScienceBarbie is not a subclass of OCamlBarbie, so the downcast will fail at runtime. However, since MattelToy is a supertype of OCamlBarbie, Java says that at compile time, barbie could still contain a instance of a subclass of OCamlBarbie, this just must be confirmed at runtime.","In the recitation, Poodle is a subclass of Dog, so when we downcast the evan binding from an Animal to a Dog, the dynamic type Poodle is still a subclass of Dog.For (c), ComputerScienceBarbie is not a subclass of OCamlBarbie, so the downcast will fail at runtime. However, since MattelToy is a supertype of OCamlBarbie, Java says that at compile time, barbie could still contain a instance of a subclass of OCamlBarbie, this just must be confirmed at runtime.",General,,
,,exam,I am not sure why these 2 are correct?,"(b) is correct, since using @Override allows us to have some compile time checks to ensure that we are overriding the correct method from the superclass, not overloading, which is when we define two functions with the same name, but different types for parameters.(c) is correct, since try-catch blocks are for all exceptions, not just checked exceptions. Consider try {
  int[] xs = {0, 1};
  System.out.println(Integer.toString(xs[2]);
} catch (ArrayOutOfBoundsException e) {
  System.out.println(""OOB"");
}
This code (outside of any syntax errors I may have made) is legal.","(b) is correct, since using @Override allows us to have some compile time checks to ensure that we are overriding the correct method from the superclass, not overloading, which is when we define two functions with the same name, but different types for parameters.(c) is correct, since try-catch blocks are for all exceptions, not just checked exceptions. Consider try {
  int[] xs = {0, 1};
  System.out.println(Integer.toString(xs[2]);
} catch (ArrayOutOfBoundsException e) {
  System.out.println(""OOB"");
}
This code (outside of any syntax errors I may have made) is legal.",General,,
,,Cheat Sheet,"Hi,For final cheat sheet, is there a requirement on the size of the paper we use? I know it cannot be printed or written on ipad but like is A4 the max size and will a notebook page suffice?",Likely that anything close to an 8.5 x 11 sheet of paper is fine..,Likely that anything close to an 8.5 x 11 sheet of paper is fine..,General,,
,,Corresponding Types,Why would the answer of this be static final int?,"Assuming x is not inside a record/object, then x is a top level constant and can be accessed by everything below it (static). Also recall that in OCaml, everything is immutable by default while in Java, everything mutable by default.","Assuming x is not inside a record/object, then x is a top level constant and can be accessed by everything below it (static). Also recall that in OCaml, everything is immutable by default while in Java, everything mutable by default.",General,,
,,exam,Is not everything in Java mutable by default?,"Mutable by default, but Strings are designed to be immutable. Operating on them (toUpperCase, substring, +, etc) always returns a new String object. Similar to how in OCaml we say it’s immutable by default but you can still make things mutable (mutable keyword).","Mutable by default, but Strings are designed to be immutable. Operating on them (toUpperCase, substring, +, etc) always returns a new String object. Similar to how in OCaml we say it’s immutable by default but you can still make things mutable (mutable keyword).",General,,
,,Recitation 10 WK,Can you explain how to do #3? What does casting null to (List&lt;String&gt;) do?,"Since List&lt;String&gt; is a nullable type, the type would just be List&lt;String&gt;","Since List&lt;String&gt; is a nullable type, the type would just be List&lt;String&gt;",General,,
,,Fa25 Midterm 1  2(d),"Why is this ill-typed? I know it's empty, but shouldn't the code still compile as 'empty' can fulfill the constraints of a 'a bag?https://www.seas.upenn.edu/~cis120/25fa/files/exams/midterm1-25fa-solutions.pdf","all is not accessible outside of the ULBag implementation file (check its interface), so it's ill-typed","all is not accessible outside of the ULBag implementation file (check its interface), so it's ill-typed",General,,
,,String equality question,"In recitation 7 worksheet, the answer for d says ""does compile; answer depends on the specific compiler, but you should assume this returns false!"".I just wanted to confirm whether we should assume this is false on the final as well.Thank you!",You can assume that it doesn't return true 100% of the time. I would hesitate to say it is a guaranteed false.,You can assume that it doesn't return true 100% of the time. I would hesitate to say it is a guaranteed false.,General,,
,,sp24q,i can't really differentiate between what would cause encapsulation to be preserved vs. broken here. could someone explain it?,"The easiest way to understand it is that if you return an object that is internally stored in the class directly, i.e. without making a copy, you're breaking encapsulation because the user who used get can then intentionally or unintentionally modify the object in ways the class does not expect.So, returning currLetter and secretWord are fine because currLetter is a primitive (which are always pass by value, meaning a copy is made of them which gets returned), and strings are immutable. However, returning board[currGuess] returns the Letter[] array on the board. The user can reassign elements within this array to be null (so technically, even though an individual letter is immutable and thus can't be tampered with, which is the point of part k, an array of Letters can be tampered with, such as replacing one letter with another or with null).","The easiest way to understand it is that if you return an object that is internally stored in the class directly, i.e. without making a copy, you're breaking encapsulation because the user who used get can then intentionally or unintentionally modify the object in ways the class does not expect.So, returning currLetter and secretWord are fine because currLetter is a primitive (which are always pass by value, meaning a copy is made of them which gets returned), and strings are immutable. However, returning board[currGuess] returns the Letter[] array on the board. The user can reassign elements within this array to be null (so technically, even though an individual letter is immutable and thus can't be tampered with, which is the point of part k, an array of Letters can be tampered with, such as replacing one letter with another or with null).",General,,
,,2024 Fall Midterm Question,"Why is the second one true? Can't a JFrame only hold one component (e.g. a JPanel, which can then hold multiple components)?","No, JFrames can contain multiple panels and can also directly contain buttons, textfields, and other components","No, JFrames can contain multiple panels and can also directly contain buttons, textfields, and other components",General,,
,,is && and || tail recursive?,if I am calling a function in a pattern match is its just (conditional statement) &amp;&amp; func ( params ) Is this tail recursive? what if the &amp;&amp; switched for ||,"&amp;&amp; and || don't automatically make something tail recursive. The key property is that &amp;&amp;and || are short-circuiting, meaning that if we can completely evaluate the left side of &amp;&amp;/||, we can reduce the whole expression to true/false/the right side of the expression. Thus, the expression is tail recursive if and only if the right side of the expression is tail recursive.","&amp;&amp; and || don't automatically make something tail recursive. The key property is that &amp;&amp;and || are short-circuiting, meaning that if we can completely evaluate the left side of &amp;&amp;/||, we can reduce the whole expression to true/false/the right side of the expression. Thus, the expression is tail recursive if and only if the right side of the expression is tail recursive.",Exams,,
,,No ocaml writing?,Just wanted to double-check that we will not have to write any OCaml on the final. I saw that 2025 spring had some.,"Yep, you will not have to write OCaml","Yep, you will not have to write OCaml",Exams,,
,,question 6.7 on 2025 spring final,"for question 6.7 there's a blank space for the constructor.However, on the answer key, I'm not sure where the constructor isdoes DQNode&lt;E&gt; currentNode = head; satisfy both of the blanks on the blank exam? I think it's a bit misleading and it confuses me","Hi there.Yes, in this case DQNode&lt;E&gt; currentNode = head will satisfy both blanks.You could split it up as follows:DQNode&lt;E&gt; currentNode;

public DequeIterator() {

    currentNode = head;

}
For the exam, we gave you the option to split it up since you might need to do things differently depending on your choice of instance variables.Let us know if you have other questions.","Hi there.Yes, in this case DQNode&lt;E&gt; currentNode = head will satisfy both blanks.You could split it up as follows:DQNode&lt;E&gt; currentNode;

public DequeIterator() {

    currentNode = head;

}
For the exam, we gave you the option to split it up since you might need to do things differently depending on your choice of instance variables.Let us know if you have other questions.",General,,
,,Java Swing repaint(),"For this program from the course notes, I'm confused how the canvas actually appears on the screen. Where would the repaint() method be called? Is it part of the invokeLater() method?","When a Swing component is added to a visible frame, it automatically calls its paintComponent() method.","When a Swing component is added to a visible frame, it automatically calls its paintComponent() method.",General,,
,,should we know all methods?,for instance subset. in this question. Would it be okay if I discribe in words or write somethins gimilar or should II try getting all i am not that familiar with on the cheet sheet?,nevermind. I did not notice there was an appendix,"Marking resolved.

---

nevermind. I did not notice there was an appendix",Exams,,
,,Recitation 10 Worksheet,"https://drive.google.com/drive/folders/1-fpYg77Rrb01isdSaOfdP2BMgUt584SOWhy is it that for Question 2 (3), the cast suceeds on changing the Dynamic type of null?",,,General,,
,,24 fall 1b,why is this false?,#998,#998,General,,
,,Fall 25 - Q6.3,"For this question, is the second line supposed to be nodes.next = null, as nodes, not l, has the ""next"" field?","Hi there.Yes, that should be nodes.next (not l) - that's a typo in our solutions. Good catch!Let us know if you have other questions.","Hi there.Yes, that should be nodes.next (not l) - that's a typo in our solutions. Good catch!Let us know if you have other questions.",General,,
,,Spring 2025 6.8,"Instead of looping using the iterator implemented earlier, I created an instance of the iterator and used it to check contains. Would this implementation be fine, or do I need to use something like a for each loop when I implement iterator in my class.",,,Exams,,
,,Advanced Java content,"Since only these 5 topics were covered in lecture, will we only need to know the highlighted bullet points for the final?",The final will only test what has been covered in class,The final will only test what has been covered in class,General,,
,,24 fall final 1.d,Can anyone explain why this is false? Thank you!,"All functions store their local variables on the stack.A non-tail-recursive function needs to perform additional work after the recursive call, so each call’s local variables, as well as workspace, remain on the stack until it returns. This causes the stack to grow and could potentially lead to a stack overflow.A tail-recursive function makes its recursive call as the last action, with nothing left to do afterward. This removes the need to store the workspace and pop the local variables, so each call uses constant stack space, effectively behaving like a loop (iteration).","All functions store their local variables on the stack.A non-tail-recursive function needs to perform additional work after the recursive call, so each call’s local variables, as well as workspace, remain on the stack until it returns. This causes the stack to grow and could potentially lead to a stack overflow.A tail-recursive function makes its recursive call as the last action, with nothing left to do afterward. This removes the need to store the workspace and pop the local variables, so each call uses constant stack space, effectively behaving like a loop (iteration).",General,,
,,Recitation 12 wk,"For this example from recitation 12 wk, why is it allowed to add the button and the label to the frame separately? I thought this would cause only the label to appear on the screen","This is allowed because we have set the frame's layout to FlowLayout. It allows all components to be added and displays them in that order. The ""only label appears"" behavior you are talking about happens only when you use BorderLayout, where components overwrite the center.","This is allowed because we have set the frame's layout to FlowLayout. It allows all components to be added and displays them in that order. The ""only label appears"" behavior you are talking about happens only when you use BorderLayout, where components overwrite the center.",General,,
,,inner classes,they can acess all methods/variables of the outer class?,#1016,#1016,Exams,,
,,My TA didn't Show Up at Code Demo,"Hi. I scheduled a Code Demo with my TA, Joyce today at 12 pm but she didn't show up or reply to my email. Can anyone reach her? I am flying back home tomorrow so today is the only time I can do a demo, what should I do in this case?","Hi Alyssa.I'm sorry to hear that!Yes, we'll reach out to Joyce and let you know.Please don't worry about the demo though - we can always do the demo with another TA or on zoom.Please let us know if you have any questions in the meantime.","Hi Alyssa.I'm sorry to hear that!Yes, we'll reach out to Joyce and let you know.Please don't worry about the demo though - we can always do the demo with another TA or on zoom.Please let us know if you have any questions in the meantime.",Homework,,
,,How do you do these kinds of questions,I dont see any initializations of PointMode object in the code? (F2022),We covered this in the review session held on Tuesday if you want to watch the recording! There are initializations in the code provided in the appendix!,We covered this in the review session held on Tuesday if you want to watch the recording! There are initializations in the code provided in the appendix!,General,,
,,List.iter,Is list.iter a function that we are expected to know?,You’ve used it on the homeworks so it’s testable.,You’ve used it on the homeworks so it’s testable.,General,,
,,Final Exam Cheat Sheet,Can the cheat sheet be printed or does it have to be handwritten?,Handwritten 8.5 x 11,Handwritten 8.5 x 11,Exams,,
,,cheat sheet,Can we used lined paper for the cheat sheet?,Yuh,Yuh,Exams,,
,,24 Spring final 7-c,I don't understand why the third choice is a subtype polymorphism. Could somebody explain?Thank you!,"Hi there.Anonymous Ram is on the right track here - thanks!In these cases, the lamdba syntax can only be used for functional interfaces. So it's easier to think of the ""older"" alternative, which was anonymous inner classes.So if you have an anonymous inner class here, it's effectively saying:class Anonymous implements Predicate&lt;E&gt; {
    ...
}
So due to this, it's a subtype of Predicate.","from my understanding lambda are alway a subtype of a function class since we can have lambda string -&gt; bool or int -&gt; bool or any other so types may be different

---

Hi there.Anonymous Ram is on the right track here - thanks!In these cases, the lamdba syntax can only be used for functional interfaces. So it's easier to think of the ""older"" alternative, which was anonymous inner classes.So if you have an anonymous inner class here, it's effectively saying:class Anonymous implements Predicate&lt;E&gt; {
    ...
}
So due to this, it's a subtype of Predicate.",General,,
,,java question,what does java generics are invariant mean?,,,Exams,,
,,anonymous inner classes,are lambdas considered anonymous inner classes?,no,no,General,,
,,Subtype Polymorphism,How is line 85 not subtype polymorphism? Penguin is a subtype of animal and is being treated as such so shouldn't the correct answer be 84 and 85?,"The static type of penguin is Animal, so you're not providing a different type/subtype to printAnimalInfo","The static type of penguin is Animal, so you're not providing a different type/subtype to printAnimalInfo",General,,
,,Exam Info,where cheatsheets allowed in past final exams?,On some of them,On some of them,Exams,,
,,Regrade request.,"Hi! I recieved 0 for testing null burreted reader for line iterator, but I habe written this test case. coi+uld you please explain why this does not test it?   @Test
    public void testLineNull() {

        // Note we don't need to create a new file here in order to
        // test out our LineIterator if we do not want to. We can just
        // create a StringReader to make testing easy!
        String words = null;
        BufferedReader br = null;
        assertThrows(IllegalArgumentException.class, () -&gt; {
            LineIterator li = new LineIterator(br);
        });
    }","Hi Dasha.While we wait for the TAs to respond, let me just add a couple of things here:Prof. Zdancewic and I are in the process of computing letter grades and we'll release grades for everyone by the end of the week.I just took a look at our grading spreadsheet and even if you were to get those points for HW08, that wouldn't change your overall letter grade.(You've done well overall!)Please let us know if you have any questions in the meantime.","Please email your recitation TAs.

---

Hi Dasha.While we wait for the TAs to respond, let me just add a couple of things here:Prof. Zdancewic and I are in the process of computing letter grades and we'll release grades for everyone by the end of the week.I just took a look at our grading spreadsheet and even if you were to get those points for HW08, that wouldn't change your overall letter grade.(You've done well overall!)Please let us know if you have any questions in the meantime.

---

and the same for the markov chain",Homework,,
,,Final Exam Grade Release Date,Roughly when will final exam grades be available?,"Soon, as soon as we finalize grades. In past semesters, we have typically released grades within a week and a half of the exam, although the final was earlier this semester than usual.","Soon, as soon as we finalize grades. In past semesters, we have typically released grades within a week and a half of the exam, although the final was earlier this semester than usual.",Exams,,
,,"Final Exam, Letter Grades, and Wrap Up","Hi everyone.Final exam scores and feedback will available through Gradescope soon. The solutions are posted on the CIS 1200 website.About Regrades: We have not enabled regrade requests via Gradescope; a few points on the final is very unlikely to affect your overall letter grade. If you notice a large discrepancy between the exam grading and the solutions, however, send mail to [REDACTED_EMAIL] directly.Final Letter GradesWe have just uploaded the course grades to PATH@Penn as well. You should be able to see them once they get processed.We hope that you enjoyed the class -- stay safe, happy holidays, and have a great winter break!- Steve, Swap, and the TAs",Is there an answer key for the final that we can check with?,"What was the raw % needed in the class to get an A?

---

Are we able to know the mean/median on the exam?

---

Is there an answer key for the final that we can check with?",General,,
,,test post for automatic slack poster,"sorry to anyone this pings, happy holidays!",This so epic arjun,This so epic arjun,General,,
